id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,group
con10,2.456888164,2.669703074,1.301103086,-0.714868529,0.27393488,0.760713696,-1.199621036,-0.174960198,-0.062219499,0.273797887,0.103844373,-0.051422599,-0.216617337,-0.017166053,-0.006874694,con
con11,1.495070058,2.891272136,0.045261925,-0.985383949,-0.06126119,-0.496063655,-0.212006995,-0.070891044,0.024180733,0.256104466,-0.228117482,-0.355679919,0.070619847,0.070909673,0.111142636,con
con12,-0.525304528,0.859761642,0.080942965,0.505170175,0.418074463,0.249535444,0.118073805,-0.619089417,0.020916729,-0.772881089,0.027511955,0.721747555,0.332778044,1.063922789,-0.096585967,con
con13,2.863163435,3.476717921,0.638177962,-1.533421502,0.178490795,0.678706624,-0.522306763,-0.863326469,-0.822681672,0.589261614,-0.341676552,0.306552863,-0.471000164,-0.013261373,0.222581181,con
con14,-2.595599,1.057380516,-0.626571813,-0.260377975,0.323641048,0.494468812,0.367458131,-0.053663628,-0.053418064,0.239370355,0.055818911,-0.203213231,-0.203463813,0.473474508,0.258605072,con
con15,0.967658587,0.920869299,0.873289371,-0.083329934,-0.350974663,-0.315972084,0.801822781,-0.073076993,-1.597405083,0.289713322,-0.271357998,-0.030934533,0.308798457,-0.344552489,-0.006582297,con
con16,3.262130283,3.072099232,-0.257857003,-1.458614551,-0.207045566,0.143422368,0.374913109,0.023393073,-0.300398606,0.347909605,0.436096296,-0.284205834,-0.792026459,-0.317930628,-0.038481643,con
con17,0.94511095,2.110253544,0.139813072,-0.849703644,0.838132496,0.605040543,-0.519492125,0.379000964,-0.062387482,0.987298726,-0.394940808,0.148778118,0.136599595,-0.073660302,0.371364952,con
con19,-1.581091761,1.786678049,0.215355687,-0.110774487,0.74249353,-1.108353843,0.436654466,0.261915439,-0.23838014,-0.304620024,-0.268680451,0.083525508,-0.523451549,0.22806823,0.220538408,con
con2,2.339117129,1.47399856,-0.051689674,1.052969965,0.484075252,0.245163411,1.622152031,-0.268398409,-0.832227048,-0.537155012,0.810250625,-0.044219132,-0.215779417,0.610016075,0.147263096,con
con20,-2.761488067,0.983692092,-0.094561575,-0.484786859,-0.434843127,0.081027383,-0.164539205,-0.170973304,-0.389131827,0.072590606,-0.226478454,-0.415331953,-0.472614117,0.040710758,0.005998486,con
con21,4.023543642,3.271291787,3.05954319,1.222626261,1.07310225,-1.021869214,-1.278806902,-0.614930015,-1.025935471,-0.125214137,-0.705549076,-0.90168988,1.054458402,-0.195068389,0.072218701,con
con22,0.125081755,1.850919705,0.685542498,-0.079033252,1.085717359,0.162963388,-0.764577351,-0.798991064,0.594899726,0.398720057,0.312362901,0.599920686,-0.353492744,0.183985958,-0.253575514,con
con23,0.876068242,2.360119984,-0.608448609,-0.231850743,0.3956024,-0.591613422,0.571056725,0.473938226,0.663211529,-0.547744875,0.198980693,-0.439393597,0.752041347,-0.089674113,-0.041517781,con
con25,1.520570803,2.728544787,-1.216400332,-1.520781219,-0.104632119,-0.126709752,0.928434295,0.461724104,0.466104072,-0.32163983,-0.504314138,0.12955369,0.68259828,0.318313401,0.296593161,con
con26,-1.288771155,1.481683292,-0.060255515,-0.13858793,0.950008434,-0.15626758,0.36579201,-0.500203768,-0.7386717,-0.513021487,-0.162308524,0.379041008,-0.243499839,-0.271143837,-0.261396254,con
con27,0.732505969,2.093859428,-0.35875493,-1.099335039,0.109693961,-0.030157481,0.731529379,0.417656035,-0.29976145,0.381623367,0.146076826,-0.499043519,-0.431485864,-0.11075649,0.000235579,con
con28,-0.333225379,1.904393985,-0.49076527,-0.207318064,0.635584631,-0.06301925,0.54224165,0.331083966,0.09930871,0.077257407,-0.319562798,-0.222646652,0.635854129,-0.279984224,0.201653707,con
con29,-1.350644086,1.357420204,-0.700095934,-0.901363654,-0.936167745,-0.192789554,1.225036388,-0.206957859,-0.780988798,-0.86895445,-0.196868002,0.404663699,0.531433806,-0.43476321,-0.287778326,con
con3,2.225318274,2.072859688,0.403398141,0.158659254,1.169784939,0.463302787,0.356111557,-0.276637864,0.140256525,-0.118950804,-0.318274565,0.474803297,-0.225221936,-0.471914481,-0.117641294,con
con31,0.522680798,1.493231775,0.323879798,-0.976180974,-1.616986601,0.259094336,0.372025351,0.18986136,-0.310814157,-0.365292714,-0.269543165,-0.431251002,0.02911783,0.316963135,0.164538197,con
con33,1.114864993,2.979895607,0.42901949,-0.392750042,-1.461651016,-5.222926026,0.449048037,1.352379554,0.489805358,-0.896035003,0.129999336,0.358189771,-0.968169141,-0.076873128,-0.03301395,con
con34,0.865360421,2.114858615,-0.292740466,-0.142385092,1.118195359,-0.817331406,-0.329151806,0.174026431,0.132405506,0.127545299,0.34959668,0.694014411,-0.121626843,0.138221147,-0.035060678,con
con4,1.411623489,2.647750805,-0.107723325,-0.163424371,0.556015788,-0.821707597,0.363126404,0.282573403,0.913829846,-0.029846186,0.088340048,0.089571084,0.098656834,-0.094488322,0.041558887,con
con6,2.258775765,2.073785574,1.442992466,-0.589715382,-1.633603895,0.675021489,-0.194261484,-0.019822646,0.893212584,1.482431284,0.479620084,-0.20552916,-0.342944975,-0.105926439,-0.065497515,con
con7,3.706419649,1.81116615,-2.919721922,-1.330896457,-0.081383153,1.202024109,2.31197408,0.059401986,-0.418450776,0.765862073,0.740342531,0.105300984,-0.110039946,0.056116035,-0.079335138,con
con8,3.605502134,1.320940682,-0.323586103,-1.465526482,-0.819897366,1.041193955,0.499197775,0.228021729,0.911478854,0.562712378,-0.084521039,0.145444079,0.156571161,0.029471558,-0.418897615,con
con9,-0.651991898,1.283727978,-1.199193126,-0.532378345,0.701122446,0.901830227,0.720541629,-0.337251561,-0.053258624,-0.280492321,-0.206289221,0.840344477,0.354394899,-0.073908472,-0.03626478,con
neg1,0.770317801,-0.768025976,1.20100412,2.590294589,-0.525073464,-0.68563705,0.631116365,0.366031047,0.131907168,0.639468898,0.339062805,0.230698227,0.287161153,-0.207160803,0.00015955,neg
neg10,-1.46385842,0.232029551,-0.050371611,0.626025939,0.547142481,-1.032343831,-0.145157443,0.613781357,-0.066595348,0.891786743,-0.162732268,0.354659195,0.281375493,-0.046041582,0.258798484,neg
neg11,-0.071683441,-2.394151741,0.649529973,0.260367188,-0.364676908,-1.491854216,0.725231192,0.564285621,-0.116661822,1.042969617,0.015064469,0.51532423,0.245685323,-0.290365987,0.049739992,neg
neg12,-0.500223382,1.0230477,0.514764867,0.075486321,0.033740166,-1.011854439,-0.721844371,0.083460059,0.474946569,0.161891975,-0.436423284,-0.47599768,0.242306068,0.028712824,-0.167333151,neg
neg13,-2.368639126,0.551764021,-0.310415687,0.312947162,1.05489583,0.633652408,0.04581175,-0.000276773,-0.71610412,-0.266682884,-0.301088528,0.261884728,-0.006297917,0.330134038,0.336771466,neg
neg14,1.093890283,-0.364570493,0.75402343,1.795562777,0.559970994,0.766873364,0.305404598,-0.745976968,1.997553,-0.375913412,0.29456374,0.107062171,-0.036157057,-0.50383034,-0.235906223,neg
neg15,-0.692505049,-1.00785004,0.125200628,-0.439907101,0.213175951,0.37992001,-0.633547654,-0.794590116,0.731601515,0.390965848,-0.58061081,0.366940482,-0.342376094,-0.359737767,1.110462308,neg
neg16,-1.707652686,0.392272434,-0.214681296,0.572071383,-0.095295154,0.552004941,0.31655596,0.070215237,-0.455475193,-0.018989905,0.526703689,-0.02908687,0.370842311,-0.170095908,0.026572594,neg
neg17,-2.944768541,-0.228752076,-0.396873584,-0.066462214,-0.277410931,0.307772306,-0.031158718,-0.171953582,-0.168518896,0.188242678,-0.024032342,-0.313543866,-0.168240349,-0.086601836,-0.20056211,neg
neg18,-2.427807429,-1.372926251,-0.12344708,-0.8821539,0.662477088,-0.171753329,-0.150718948,-0.779141784,0.22898288,0.243625413,0.332242486,-0.310266126,-0.122903319,-0.437862123,0.375926018,neg
neg19,-1.142778958,-1.063129678,0.3993663,-0.208267565,-0.539398589,1.055888591,-1.018263251,2.434495379,-0.207645847,-0.200290437,0.40483785,-0.075221028,-0.237437576,0.008588526,0.493849886,neg
neg2,1.843697003,-1.600904497,0.380616247,-0.681248708,-0.042206152,-0.75584513,-0.399634657,0.187106099,-0.256927443,1.29536841,0.316199976,0.060369467,0.48127775,0.883240304,-0.066172055,neg
neg20,-2.959905472,-0.548078523,-0.367256827,0.140281001,0.345688181,0.258337644,-0.075386616,0.018234718,0.479867765,0.093220096,-0.090149007,-0.33098023,-0.111932648,-0.132718467,0.086405319,neg
neg21,-3.520085798,0.071728809,-0.72686271,0.197576907,0.172252342,0.383294166,0.262282734,-0.195350712,0.055262034,-0.382631831,-0.008952106,-0.06971265,0.074322269,-0.035149211,0.033350709,neg
neg22,-1.210643075,0.760053283,0.168472708,0.821381203,0.088087783,0.743379405,-0.303366189,-0.400447342,0.287344448,-0.493584612,0.178789406,-0.200253641,-0.301032157,-0.053642723,-0.023784949,neg
neg23,-1.522730034,-0.779835038,-0.724417419,0.866614584,-0.423476168,0.252104494,0.370575983,0.087543376,0.117648371,-0.206953209,-0.074709883,0.109633552,-0.202546066,-0.285801254,-0.131589253,neg
neg24,-1.881673178,-0.433581822,0.190651499,-0.317776935,-0.13827287,0.197207737,-0.65866578,-0.180549491,0.117452406,0.555671609,-0.111328088,-0.06014688,0.017950854,0.070426019,-0.698323287,neg
neg25,0.669408748,-4.93767401,0.374980082,-3.53976617,1.429996195,-1.404081274,-1.155394467,-2.038548681,-0.121565611,0.185654988,0.775953425,-0.398926294,0.728890572,-0.385470652,-0.249225035,neg
neg26,-2.677789385,-0.319051799,0.058676878,-0.260507878,-0.582909032,0.275941634,-0.260072213,0.256594834,-0.297568068,0.205021556,-0.469418931,-0.109278279,-0.132863529,0.205942633,-0.069306318,neg
neg27,-3.72415539,-0.262649515,-0.344052332,-0.178979216,-0.000171123,0.181139034,0.064368236,-0.267155181,0.072070911,-0.026202903,0.010318188,0.127547293,-0.098872471,0.058051163,-0.106635661,neg
neg28,-0.788476816,0.383345857,-0.326620877,0.851978455,0.440413208,-0.45681656,-0.346140561,0.04924757,-0.540016556,0.549034794,0.056089292,0.14133406,-0.092801485,-0.405352188,-0.128073498,neg
neg29,-2.180488798,-0.080484538,-0.925311665,-0.044615523,-0.053380314,-0.014257123,0.063861539,0.226241942,0.326510432,0.28400478,0.236381175,-0.422054841,-0.150648797,0.118863249,-0.088542814,neg
neg3,-1.998403769,0.588769298,-0.139799319,0.108267249,0.227247148,0.022663779,0.162796492,-0.508507082,-0.13174947,0.111230527,-0.306504076,0.487353593,0.060691779,0.024388263,-0.133161633,neg
neg30,-1.828380642,0.603294207,-0.870308455,-0.057435067,0.044401404,0.423677679,-0.808651202,0.139947403,0.742609699,0.367455157,0.21697647,-0.590158133,-0.211227061,-0.303898041,-0.225906334,neg
neg31,-2.373841867,0.641761044,-0.497997868,-0.209997669,0.429770331,0.095970004,-0.354032674,0.180953365,0.854375236,0.205690074,-0.039448542,0.476282341,0.3124052,0.525900467,-0.12306688,neg
neg32,-3.717216557,-1.426211601,-0.218504805,-0.374008599,0.211847806,-0.482624867,0.132833137,-0.57878782,-0.157818032,-0.014771382,0.238272158,-0.314412301,0.009351222,-0.046116965,-0.108943862,neg
neg33,-3.008498032,-0.707077321,-1.079306215,0.276259526,0.254984314,-0.225772351,0.192122306,0.176574933,-0.439260765,0.374216087,0.509834285,-0.609488577,-0.098404547,0.444176646,0.070994393,neg
neg34,1.739198509,-3.091978203,1.513181812,-0.945018202,-1.869240968,-0.369941615,-0.75355983,-1.271263036,0.256799269,-0.836898613,-0.357086186,0.172097757,-0.388725093,0.110093303,0.429491509,neg
neg35,-1.340519198,0.357686658,-0.038040087,0.16452598,-0.587935877,-0.14539117,-0.520307667,0.479563419,0.508423408,-0.186645968,0.158861196,-0.29357541,0.257894379,0.107161808,-0.113634895,neg
neg36,0.47063846,0.793392891,0.658710314,0.082711301,-1.07529642,0.172261857,-0.844811748,0.143166824,0.582393545,-0.246849033,0.144878619,-0.169998845,0.365447653,0.34176753,-0.12603323,neg
neg37,-0.878939484,0.126812304,0.737751527,1.47243957,0.019784017,-0.240058771,0.257528339,-0.224421781,-0.011659442,-0.502498473,0.494193479,-0.29412752,-0.301271428,0.022169702,-0.090095592,neg
neg4,2.935420708,1.992944129,-0.327623426,0.272183538,-0.976133191,0.809658564,-0.859058376,0.551686169,0.80144725,-0.626552,1.12083066,-0.408237223,0.475746775,-0.17959071,0.236724686,neg
neg5,1.59172803,-0.36596453,1.201657853,1.49840611,0.739831223,-0.741296839,-0.022562825,0.646801631,-0.733906386,-0.004373771,0.245724457,0.295714409,0.36978374,-0.318648492,-0.428488125,neg
neg6,2.100776824,2.283624854,1.121010339,1.117921794,1.467097314,-0.21147279,-1.310974879,-0.964030102,-0.532248332,-0.80127036,0.136166292,-0.547912053,-0.256601304,0.412760767,-0.051363962,neg
neg7,-0.836367994,-0.292095432,-0.148426254,0.644390539,0.533702787,-0.028383793,-0.686633901,-0.101709629,0.141691192,-0.48822201,-0.025188628,0.164525069,0.092539182,0.367574319,0.117935565,neg
neg8,-3.089078172,-0.866896327,-0.441198959,-0.423886482,0.123628621,-0.293518106,0.042512371,0.140736781,0.161249441,0.37886143,-0.155765741,0.072037207,-0.115497912,0.319074313,-0.03479057,neg
neg9,-4.532506328,-0.237230158,-0.712271283,0.548721496,-0.098169603,-0.028487585,0.41402938,0.223254863,0.040873385,-0.085607221,0.10382207,-0.128650947,-0.03796661,0.080272045,0.089301022,neg
pos1,-0.04099881,0.148954152,0.476713608,1.16719128,0.48313553,0.595568886,0.035913013,-0.856613754,-0.479353256,-0.513297921,-0.2069622,-0.37763584,-0.827046605,-0.043500508,-0.116561268,pos
pos10,-3.857293591,-0.432581804,-0.401877396,0.819170815,0.167211848,0.055933947,0.480064856,0.129360301,-0.402925893,0.157961203,0.187760926,-0.131340867,0.027874156,-0.051379249,0.08737806,pos
pos11,6.550802602,-3.874764448,0.130675901,0.452006106,-0.782693078,-0.593328027,2.559771645,-1.585695315,0.855573287,-0.395090341,-0.12037421,-0.205136386,-0.020493791,0.660973764,-0.002439845,pos
pos12,2.529241281,-3.099834891,-0.001819546,-1.810812526,0.660351513,0.570860932,-1.398290964,1.446596279,0.611838965,-0.534140752,-1.02465879,0.299965065,-0.283761663,0.328238889,-0.697377237,pos
pos13,-1.320012418,-1.404039471,1.22370086,-0.609207615,-3.015078199,0.431301816,-0.173609405,-0.286198669,-1.067192257,0.389744714,-0.351038926,0.512281131,-0.022243547,0.054834704,-0.129493398,pos
pos14,-1.398199189,0.344528488,0.922151232,0.730475263,-1.846979196,0.882369472,0.095480528,-0.488884067,0.368920369,-0.898544039,0.254324562,-0.013184627,0.442523058,0.142467124,0.010622312,pos
pos15,0.067589154,-2.812129006,0.444824569,-0.428779941,0.056925349,0.047258493,-0.133483662,0.916093691,0.074933454,-0.01288385,-0.936297427,0.116816605,-0.106240898,-0.027722439,-0.096638959,pos
pos16,0.588196785,-2.938696587,1.01808133,0.08868932,-1.497216896,-0.347424915,0.309910874,-0.397461577,0.070471825,-0.271021925,-0.130291923,-0.216750209,0.063362895,-0.139502149,0.437368822,pos
pos17,-0.55348612,0.074736129,0.178457552,0.352179532,-0.571920022,0.065243663,-0.521507887,0.480772595,-0.570540176,-0.739245548,0.103663774,0.051877887,-0.001796607,-0.04448805,-0.045400939,pos
pos18,-2.064569198,-1.619011621,0.287664701,-0.189271707,0.073312701,-0.266746142,0.111946023,-0.380158709,0.443637527,-0.136138452,0.363047119,0.261131672,-0.100439059,-0.143222816,0.229556232,pos
pos19,-3.155564411,-1.08719853,-0.383332453,0.52646539,0.163454889,-0.18512996,0.090262382,0.103745345,0.13661109,0.07693512,0.246746578,0.128817625,0.182790662,-0.012322221,-0.050291824,pos
pos2,1.617323445,0.980296996,1.701683738,0.743546968,-0.191321117,1.224062467,-1.816064705,-0.2354614,-0.012888885,-0.314002994,0.490937682,1.061590945,-0.324882832,0.197915388,0.107641397,pos
pos20,-1.894350818,-1.749482515,-0.187041239,-0.566296825,0.435436727,-0.776547206,0.078486645,-0.709694415,0.371447495,0.218472465,0.338495109,0.251543611,0.369174801,-0.092450319,0.497128789,pos
pos21,-1.150334596,-1.391696488,0.086517011,-0.207582375,-0.423220383,-0.082192657,0.193339579,-0.370202826,0.419024474,0.007846525,-0.530101316,0.115311199,0.140147714,-0.221176265,-0.041928897,pos
pos22,-1.072076748,-0.064691036,0.032752868,0.720272005,0.100797578,-0.108845706,0.227960021,0.263558411,0.93840546,-0.675041602,-0.649721696,0.049947109,0.187321271,-0.131031235,-0.097110805,pos
pos23,5.748215307,-1.369647509,-7.948421233,1.98417442,-1.234435632,-1.087357296,-3.06686909,-0.555603653,-0.621327195,-0.077541296,-0.167188896,0.023658615,0.009438413,-0.091615186,0.103787262,pos
pos24,-1.353123492,0.284051032,0.031116676,0.03641949,-0.30776428,0.043845854,0.119211926,0.181475061,-0.201863993,0.648107484,-0.35730534,0.216901295,0.672343476,-0.115685495,-0.003129725,pos
pos25,0.438767346,-0.692947493,0.831263017,0.139851315,-3.4872677,0.89254548,-0.095571901,0.069293785,-0.65487236,-0.245038834,0.312808987,0.107630264,0.125583151,-0.474559519,-0.258592649,pos
pos26,1.857191532,0.066642814,0.279602362,0.619609309,0.152122723,1.591566126,-0.134728762,1.598009765,0.430963537,-0.471680982,-0.399132682,-0.502196711,0.248463284,-0.234558768,0.242250481,pos
pos27,0.129484471,-0.734578342,-1.322686416,-0.478721773,0.088943633,0.283990576,1.124423832,-0.705264703,0.540799152,-0.200472308,-1.163928272,-0.957368207,-0.527522306,-0.026137544,-0.310582312,pos
pos3,4.423303172,-3.875383544,0.615895402,1.96795104,0.771560107,0.367711499,1.035005277,0.740233053,-0.682198165,0.724729531,-0.574867674,-0.51309027,0.023850091,0.475989918,0.30422073,pos
pos4,3.856526327,-5.672827385,0.834165552,-0.549549838,1.964720763,-0.01732327,0.188280272,1.295346744,0.885457201,0.00920332,0.520324824,0.002040151,-0.314805543,-0.114869164,0.129008307,pos
pos5,0.38384903,-2.266015147,0.829372256,1.339625194,0.998558956,0.071449478,0.133903713,0.224103082,-0.727646257,0.425957869,-0.001028011,-0.069404944,-0.760612675,-0.358060099,-0.183533408,pos
pos6,-0.148701392,-1.462629932,0.230699,1.309467732,0.240732677,0.028284533,-0.347732474,0.134004396,-0.21481524,1.0045185,0.183477852,-0.179022755,0.029692102,0.410632873,-0.531140907,pos
pos7,2.822171688,-4.234683919,0.057786659,0.037372037,-0.739089911,0.125421592,0.019705536,0.035198197,-0.607214984,0.492254567,0.201131889,0.222691815,-0.144049674,0.117539697,0.054840714,pos
pos8,3.981522309,-1.129081288,-1.310487156,1.507446542,0.931643349,0.908007539,1.052293593,-0.237994234,0.016036873,-0.278530849,-0.303871357,0.589414204,0.070467649,-0.71073538,-0.027376407,pos
pos9,0.959728323,-3.78957224,-0.053223728,-3.05471172,1.51176606,0.560388345,-0.067613213,1.188428039,-1.442050419,-1.962852773,0.621362668,-0.034812983,0.128505691,-0.125890137,-0.063537209,pos